cluster,observer_path,observer_label_values,observer_type,observer_value_class,observer_sample,observer_n_files,viewpoint_path,viewpoint_short_label,viewpoint_long_label,viewpoint_type,viewpoint_value_class,viewpoint_sample,viewpoint_n_files,notes
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverAbdominalCircumference_Deviation,,,int (NM),decimal,-3 (-3.0SD),1/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverAbdominalCircumference_Percentile,,,int (NM),percentile,0 (<1%),1/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverBiparietalDiameter_Author,,,str (ST),coded_text,Hadlock,6/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverBiparietalDiameter_DevRatio,,,float (NM),percentile,-5.2 (-5.2%),1/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverBiparietalDiameter_Deviation,,,float (NM),decimal,-0.9 (-0.9SD),1/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverBiparietalDiameter_Percentile,,,int (NM),percentile,19 (19%),1/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverHeadCircumference_Author,,,str (ST),coded_text,Hadlock,6/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverHeadCircumference_DevRatio,,,float (NM),percentile,-17.3 (-17.3%),1/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverHeadCircumference_Deviation,,,float (NM),decimal,-3.2 (-3.2SD),1/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverHeadCircumference_Percentile,,,int (NM),percentile,0 (<1%),1/7,
